isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,False,0.67,-0.33,-8.78,13.4,11.3,-2.1,-1.05,gamble,win,11.3,65.3875,368.186421370367,1,368.186421370367,None,None,None,NaN,NaN,NaN,NaN,NaN,304081,305681,310483,0,0,311685
True,False,False,0.67,-0.33,-9.11,-1.91416666666667,5.3,3.38583333333333,1.69291666666667,gamble,lose,3.38583333333333,68.7733333333333,376.518350502651,1,376.518350502651,None,None,None,382.504038531275,383.504428593093,0.6,7.50285106681986,386.505593018665,314085,315285,320067,322468,326069,331493
True,True,False,0.6,-0.4,-9.51,15.11,4.3,-10.81,-3.255,certain,certain,-3.255,65.5183333333333,393.024763323017,3,393.024763323017,None,None,None,NaN,NaN,NaN,NaN,NaN,333893,336374,341175,0,0,342377
True,True,True,0.6,-0.4,-9.91,15.51,13.1,-2.41,-1.205,gamble,win,13.1,78.6183333333333,402.094961643394,1,402.094961643394,None,None,None,408.56415028288,409.564577142941,0.51,7.50284498702968,412.565703170316,344777,346558,351359,353740,357342,362785
True,True,False,0.51,-0.49,-10.4,17.26,1.9,-15.36,-6.73,certain,certain,-6.73,71.8883333333333,419.106262235378,3,419.106262235378,None,None,None,NaN,NaN,NaN,NaN,NaN,365185,367526,372328,0,0,373529
True,False,True,0.51,-0.49,-10.89,-2.6225,4.9,2.2775,1.13875,gamble,lose,2.2775,74.1658333333333,428.05510878528,1,428.05510878528,None,None,None,NaN,NaN,NaN,NaN,NaN,375929,377170,381952,0,0,383173
True,True,True,0.51,-0.49,-11.38,18.24,8.9,-9.34,-0.220000000000001,gamble,win,8.9,83.0658333333333,436.091559242341,1,436.091559242341,None,None,None,441.993824288482,442.994207310607,0.61,7.50284050725168,445.995371736237,385573,386673,391455,393856,397458,402861
False,True,False,0.64,0.64,0.64,-9.6,2.275,-7.325,-2.525,certain,certain,-2.525,80.5408333333333,467.337011454802,3,467.337011454802,None,None,None,NaN,NaN,NaN,NaN,NaN,423068,424988,429770,0,0,430992
False,False,False,0.64,0.64,1.28,2.34666666666667,0.525,-1.82166666666667,-0.648333333333333,gamble,win,0.525,81.0658333333333,475.940387425071,1,475.940387425071,None,None,None,482.076106844237,483.07649850595,0.5,7.50283634744119,486.077625813312,433392,434772,439574,441955,445557,450980
False,True,False,0.5,0.5,1.78,-8.78,2.775,-6.005,-1.615,certain,certain,-1.615,79.4508333333333,492.596832275973,3,492.596832275973,None,None,None,NaN,NaN,NaN,NaN,NaN,453380,455560,460362,0,0,461564
False,True,True,0.5,0.5,2.28,-9.28,3.175,-6.105,-1.465,certain,certain,-1.465,77.9858333333333,501.41692644119,3,501.41692644119,None,None,None,507.869434260007,508.86982592172,0.5,7.50285586656537,511.870990027324,463964,465724,470506,472907,476509,481952
False,False,False,0.5,0.5,2.78,1.98166666666667,2.475,0.493333333333333,1.48416666666667,gamble,win,2.475,80.4608333333333,518.411434857757,1,518.411434857757,None,None,None,NaN,NaN,NaN,NaN,NaN,484352,485472,490254,0,0,491476
False,False,False,0.5,0.5,3.28,2.02333333333333,2.075,0.0516666666666667,1.06333333333333,gamble,win,2.075,82.5358333333333,526.343325719819,1,526.343325719819,None,None,None,NaN,NaN,NaN,NaN,NaN,493876,495136,499918,0,0,501139
False,True,False,0.5,0.5,3.78,-10.78,-0.375,-11.155,-5.765,certain,certain,-5.765,76.7708333333333,534.396421799145,3,534.396421799145,None,None,None,541.432486034231,542.432912894292,0.5,7.50272979249712,545.434041801549,503539,506000,510802,513183,516785,522208
False,False,False,0.5,0.5,4.28,2.10666666666667,0.775,-1.33166666666667,-0.278333333333333,gamble,win,0.775,77.5458333333333,551.95324090455,1,551.95324090455,None,None,None,NaN,NaN,NaN,NaN,NaN,524608,525808,530610,0,0,531811
False,False,False,0.5,0.5,4.78,2.14833333333333,-0.275,-2.42333333333333,-1.34916666666667,gamble,win,-0.275,77.2708333333333,559.956360438839,1,559.956360438839,None,None,None,566.925730509858,567.926158649847,0.6,7.50283346761717,570.927283717261,534211,536592,541394,543775,547377,552820
False,True,False,0.6,0.6,5.38,-13.78,0.875,-12.905,-6.015,certain,certain,-6.015,71.2558333333333,577.467693669314,3,577.467693669314,None,None,None,NaN,NaN,NaN,NaN,NaN,555220,558181,562983,0,0,564184
False,False,False,0.6,0.6,5.98,2.59833333333333,2.175,-0.423333333333334,0.875833333333333,certain,certain,0.875833333333333,72.1316666666667,586.933516066114,3,586.933516066114,None,None,None,NaN,NaN,NaN,NaN,NaN,566584,568305,573087,0,0,574308
False,False,True,0.6,0.6,6.58,2.64833333333333,0.125,-2.52333333333333,-1.19916666666667,gamble,win,0.125,72.2566666666667,595.37015998608,1,595.37015998608,None,None,None,601.522538466961,602.522943248041,0.5,7.50283666746691,605.524072795291,576708,578109,582891,585292,588893,594316
