isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,0.52,0.52,12.21,-19.49,7.9,-11.59,-1.845,certain,certain,-1.845,47.7054166666667,727.638182541927,None,727.638182541927,727.638182541927,None,729.022004661525,733.02354186479,734.007221079522,735.007648258197,0.52,738.008782281588,None,None,750492,752153,756955,759336,762937,768360
True,0.52,0.52,12.73,-20.01,7.3,-12.71,-2.705,certain,certain,-2.705,45.0004166666667,744.527958604303,None,744.527958604303,744.527958604303,None,746.228630506765,750.23020610811,NaN,NaN,NaN,NaN,,,770760,772801,777603,0,0,778804
False,0.52,0.52,13.25,2.92416666666667,0.625,-2.29916666666667,-0.837083333333333,certain,certain,-0.837083333333333,44.1633333333334,753.231320932457,None,753.231320932457,753.231320932457,None,755.515541304176,759.517113065715,NaN,NaN,NaN,NaN,,,781204,783945,788747,0,0,789949
False,0.52,0.52,13.77,2.9675,2.575,-0.3925,1.09125,gamble,win,2.575,46.7383333333334,762.518229169997,None,762.518229169997,762.518229169997,None,764.418964045315,768.403817601426,769.404232620705,770.404593242703,0.54,773.405731425886,None,None,792349,794630,799412,801812,805414,810837
True,0.54,0.54,14.31,3.0825,0.925,-2.1575,-0.61625,certain,certain,-0.61625,46.1220833333334,779.92496150592,None,779.92496150592,779.92496150592,None,782.242485495124,786.24401757864,NaN,NaN,NaN,NaN,,,813237,816018,820820,0,0,822001
False,0.52,-0.48,-0.48,-1.72,13.9,12.18,6.09,gamble,lose,12.18,58.3020833333334,807.018687707106,None,807.018687707106,807.018687707106,None,808.219149060078,812.220694582924,813.204401316285,814.204844174179,0.52,817.205910360954,None,None,845750,847190,851992,854373,857974,863398
True,0.52,-0.48,-0.96,7.68,8.1,0.42,0.21,gamble,win,8.1,66.4020833333334,823.725121561929,None,823.725121561929,823.725121561929,None,825.375780921015,829.377289645698,NaN,NaN,NaN,NaN,,,865798,867778,872580,0,0,873801
True,0.52,-0.48,-1.44,8.16,4.5,-3.66,0.42,certain,certain,0.42,66.8220833333334,832.395114995859,None,832.395114995859,832.395114995859,None,834.62931002484,838.614205178877,NaN,NaN,NaN,NaN,,,876201,878883,883665,0,0,884886
True,0.52,-0.48,-1.92,8.64,6.5,-2.14,-1.07,gamble,win,6.5,73.3220833333334,841.632054847822,None,841.632054847822,841.632054847822,None,843.699500440936,847.701049483607,848.68474693743,849.68510595951,0.52,852.686245102643,None,None,887286,889767,894569,896950,900551,905974
False,0.52,-0.48,-2.4,9.12,5.1,-4.02,0.54,certain,certain,0.54,73.8620833333334,859.205439344467,None,859.205439344467,859.205439344467,None,860.939440463131,864.924310338425,NaN,NaN,NaN,NaN,,,908374,910455,915237,0,0,916458
