lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
NaN,NaN,True,True,True,0.58,-0.42,-8.15,14.03,11.9,-2.13,-1.065,gamble,win,11.9,52.5120833333333,1127.92061612289,1,1129.00431210478,1132.98917462036,1133.98961395852,1.05058979452588,NaN,NaN,NaN,NaN,NaN,1080948,1082248,1087030,0,0,1088252
NaN,NaN,True,False,True,0.58,-0.42,-8.57,-2.18416666666667,-1.3,-3.48416666666667,-2.39208333333333,gamble,lose,-3.48416666666667,49.0279166666666,1136.00700893009,1,1137.70763539488,1141.69258430623,1151.19616524747,1.66755675559398,1142.6929273291,1143.69329531072,0.58,7.50277874129824,1146.69448469137,1090652,1092692,1097474,1099875,1103477,1108900
NaN,NaN,True,False,True,0.58,-0.42,-8.99,-2.21916666666667,9.7,7.48083333333333,3.74041666666667,gamble,lose,7.48083333333333,56.50875,1153.21366741369,1,1154.18070233939,1158.16564325104,1159.166026272,0.933958496781997,NaN,NaN,NaN,NaN,NaN,1111300,1112460,1117242,0,0,1118464
NaN,NaN,True,False,True,0.58,-0.42,-9.41,-2.25416666666667,7.9,5.64583333333333,2.82291666666667,gamble,lose,5.64583333333333,62.1545833333333,1161.18341004418,1,1162.01701483061,1166.00193238351,1175.50558724103,0.800342766800895,1167.00233908324,1168.00270546495,0.62,7.50280721986201,1171.00378989079,1120864,1121864,1126646,1129047,1132648,1138071
NaN,NaN,True,True,True,0.62,-0.38,-9.79,15.11,8.3,-6.81,0.744999999999999,gamble,win,8.3,70.4545833333333,1177.52295533405,1,1179.09030557191,1183.09184277523,1184.07555174851,1.53434772533365,NaN,NaN,NaN,NaN,NaN,1140471,1142352,1147154,0,0,1148355
NaN,NaN,True,True,True,0.62,-0.38,-10.17,15.49,0.5,-14.99,-7.245,gamble,win,0.5,70.9545833333333,1186.09294128034,1,1187.82700607588,1191.82848248212,1192.8121962552,1.70096180797555,NaN,NaN,NaN,NaN,NaN,1150755,1152836,1157638,0,0,1158839
NaN,NaN,True,False,False,0.62,-0.38,-10.55,-2.20916666666667,10.7,8.49083333333333,4.24541666666667,gamble,lose,8.49083333333333,79.4454166666666,1194.82964114426,1,1195.49656113167,1199.48148604424,1208.98513162218,0.63382595940493,1200.48181306792,1201.48224888614,0.65,7.50280114018824,1204.48335603089,1161239,1162040,1166822,1169222,1172824,1178247
NaN,NaN,True,True,False,0.65,-0.35,-10.9,15.8,3.3,-12.5,-4.6,gamble,win,3.3,82.7454166666666,1211.00256627193,1,1212.4364665316,1216.4380245338,1217.42166887026,1.40079695230816,NaN,NaN,NaN,NaN,NaN,1180647,1182368,1187170,0,0,1188371
NaN,NaN,True,True,True,0.65,-0.35,-11.25,16.15,11.5,-4.65,-2.325,gamble,win,11.5,94.2454166666666,1219.43910287996,1,1220.48951572343,1224.49110668397,1233.97808877379,1.01751048583537,1225.4748729344,1226.47518587869,0.66,7.50284881785046,1229.47631254245,1190771,1192031,1196833,1199214,1202816,1208239
NaN,NaN,True,True,False,0.66,-0.34,-11.59,16.35,11.1,-5.25,-2.625,gamble,win,11.1,105.345416666667,1235.99552886316,1,1237.12930138526,1241.13078131143,1242.13114513329,1.11733110283967,NaN,NaN,NaN,NaN,NaN,1210639,1211999,1216801,0,0,1218023
NaN,NaN,True,True,False,0.66,-0.34,-11.93,16.69,10.3,-6.39,1.955,gamble,win,10.3,115.645416666667,1244.14866201882,1,1245.04903595208,1249.0505037189,1258.5374886886,0.867262626299635,1250.03424245061,1251.03459667298,0.67,7.50285169761628,1254.03578669357,1220423,1221503,1226305,1228686,1232287,1237690
